mtu,synergy1,synergy2,synergy3,synergy4,
addbrev_r,0.339637,0.187668,0.00984594,0.401119,
addlong_r,0.339637,0.187668,0.00984594,0.401119,
addmagDist_r,0.339637,0.187668,0.00984594,0.401119,
addmagIsch_r,0.339637,0.187668,0.00984594,0.401119,
addmagMid_r,0.339637,0.187668,0.00984594,0.401119,
addmagProx_r,0.339637,0.187668,0.00984594,0.401119,
bflh_r,0.0413086,0.0288996,0.151955,0.00144617,
bfsh_r,0.0413103,0.028901,0.151958,0.00143723,
edl_r,0,0.00578252,0.0163078,0.276653,
ehl_r,0.00877124,0.0177578,0.0078771,0.393041,
fdl_r,0.0403919,0.0156627,0.0575081,0.000280928,
fhl_r,0,0.110766,0.0112077,0,
gaslat_r,0.0271213,0.000297891,0.074842,0.0327342,
gasmed_r,0.0271213,0.000297891,0.074842,0.0327342,
glmax1_r,0.00527077,0.0906509,0.0544715,0.0347607,
glmax2_r,0.00527203,0.090659,0.0544597,0.0347672,
glmax3_r,0.00527327,0.0906649,0.0544506,0.0347719,
glmed1_r,0.00527039,0.090648,0.0544755,0.0347584,
glmed2_r,0.00506764,0.0882419,0.0557256,0.0321251,
glmed3_r,0.00508567,0.0883013,0.0557592,0.0320364,
glmin1_r,0.0050741,0.0882625,0.0557378,0.0320937,
glmin2_r,0.00527227,0.0906602,0.0544579,0.0347682,
glmin3_r,0.00527391,0.090667,0.0544468,0.0347736,
grac_r,0.339637,0.187668,0.00984594,0.401119,
iliacus_r,0.0504641,0.00486786,0.164436,0.0107317,
perbrev_r,0.0291667,0.216799,0.0232986,0,
perlong_r,0.0213635,0.174562,0.0264761,0.0268137,
piri_r,0,0,0,0,
psoas_r,0.0504641,0.00486786,0.164436,0.0107317,
recfem_r,0.0504639,0.00486791,0.164436,0.0107316,
sart_r,0.050464,0.00486789,0.164436,0.0107317,
semimem_r,0.0413059,0.0288972,0.15195,0.0014607,
semiten_r,0.0413095,0.0289003,0.151957,0.0014416,
soleus_r,0.0271213,0.000297891,0.074842,0.0327342,
tfl_r,0.050464,0.00486789,0.164436,0.0107317,
tibant_r,0.00101299,0.00431712,0.00363069,0.14016,
tibpost_r,0.00898661,0.103631,0,0.00161138,
vasint_r,0.425559,0.0189469,0.259944,0.0111286,
vaslat_r,0.424421,0.0173017,0.260343,0.00937629,
vasmed_r,0.424431,0.0173046,0.260335,0.00936407,
addbrev_l,0,0,0,0,
addlong_l,0,0,0,0,
addmagDist_l,0,0,0,0,
addmagIsch_l,0,0,0,0,
addmagMid_l,0,0,0,0,
addmagProx_l,0,0,0,0,
bflh_l,0,0,0,0,
bfsh_l,0,0,0,0,
edl_l,0.0669338,0.073341,0.0619819,0.014865,
ehl_l,0.0124955,0.0357315,0.0224246,0.0638952,
fdl_l,0.00540523,0.0717908,0.075128,0.0545891,
fhl_l,0.0482552,0.0495232,0.0664176,0.0323259,
gaslat_l,0,0,0,0,
gasmed_l,0,0,0,0,
glmax1_l,0,0,0,0,
glmax2_l,0,0,0,0,
glmax3_l,0,0,0,0,
glmed1_l,0,0,0,0,
glmed2_l,0,0,0,0,
glmed3_l,0,0,0,0,
glmin1_l,0,0,0,0,
glmin2_l,0,0,0,0,
glmin3_l,0,0,0,0,
grac_l,0,0,0,0,
iliacus_l,0,0,0,0,
perbrev_l,0.00698923,0.0302327,0.0693483,0.074774,
perlong_l,0.042536,0.0834769,0.0339727,0.0768876,
piri_l,0,0.000362193,0.000181902,0,
psoas_l,0,0,0,0,
recfem_l,0,0,0,0,
sart_l,0,0,0,0,
semimem_l,0,0,0,0,
semiten_l,0,0,0,0,
soleus_l,0,0,0,0,
tfl_l,0,0,0,0,
tibant_l,0.00213859,0.0729477,0.0331136,0.0884184,
tibpost_l,0.0841061,0.0425985,0.073708,0.0667954,
vasint_l,0,0,0,0,
vaslat_l,0,0,0,0,
vasmed_l,0,0,0,0,
